통계연월,통계시도명,통계시군구명,장애정도,성별,등록장애인수
202503,서울특별시,종로구,심한 장애,남자,1222
202503,서울특별시,종로구,심한 장애,여자,831
202503,서울특별시,종로구,심하지 않은 장애,남자,1995
202503,서울특별시,종로구,심하지 않은 장애,여자,1556
202503,서울특별시,중구,심한 장애,남자,1085
202503,서울특별시,중구,심한 장애,여자,733
202503,서울특별시,중구,심하지 않은 장애,남자,1883
202503,서울특별시,중구,심하지 않은 장애,여자,1534
202503,서울특별시,용산구,심한 장애,남자,1495
202503,서울특별시,용산구,심한 장애,여자,942
202503,서울특별시,용산구,심하지 않은 장애,남자,2521
202503,서울특별시,용산구,심하지 않은 장애,여자,1883
202503,서울특별시,성동구,심한 장애,남자,2210
202503,서울특별시,성동구,심한 장애,여자,1421
202503,서울특별시,성동구,심하지 않은 장애,남자,3950
202503,서울특별시,성동구,심하지 않은 장애,여자,3088
202503,서울특별시,광진구,심한 장애,남자,2456
202503,서울특별시,광진구,심한 장애,여자,1682
202503,서울특별시,광진구,심하지 않은 장애,남자,4460
202503,서울특별시,광진구,심하지 않은 장애,여자,3393
202503,서울특별시,동대문구,심한 장애,남자,3089
202503,서울특별시,동대문구,심한 장애,여자,1978
202503,서울특별시,동대문구,심하지 않은 장애,남자,5648
202503,서울특별시,동대문구,심하지 않은 장애,여자,4430
202503,서울특별시,중랑구,심한 장애,남자,4396
202503,서울특별시,중랑구,심한 장애,여자,2928
202503,서울특별시,중랑구,심하지 않은 장애,남자,7211
202503,서울특별시,중랑구,심하지 않은 장애,여자,5449
202503,서울특별시,성북구,심한 장애,남자,3478
202503,서울특별시,성북구,심한 장애,여자,2354
202503,서울특별시,성북구,심하지 않은 장애,남자,6122
202503,서울특별시,성북구,심하지 않은 장애,여자,4895
202503,서울특별시,강북구,심한 장애,남자,3568
202503,서울특별시,강북구,심한 장애,여자,2593
202503,서울특별시,강북구,심하지 않은 장애,남자,5821
202503,서울특별시,강북구,심하지 않은 장애,여자,4743
202503,서울특별시,도봉구,심한 장애,남자,3183
202503,서울특별시,도봉구,심한 장애,여자,2152
202503,서울특별시,도봉구,심하지 않은 장애,남자,5540
202503,서울특별시,도봉구,심하지 않은 장애,여자,4214
202503,서울특별시,노원구,심한 장애,남자,6321
202503,서울특별시,노원구,심한 장애,여자,4631
202503,서울특별시,노원구,심하지 않은 장애,남자,7813
202503,서울특별시,노원구,심하지 않은 장애,여자,6863
202503,서울특별시,은평구,심한 장애,남자,5036
202503,서울특별시,은평구,심한 장애,여자,3024
202503,서울특별시,은평구,심하지 않은 장애,남자,7325
202503,서울특별시,은평구,심하지 않은 장애,여자,5849
202503,서울특별시,서대문구,심한 장애,남자,2447
202503,서울특별시,서대문구,심한 장애,여자,1713
202503,서울특별시,서대문구,심하지 않은 장애,남자,4192
202503,서울특별시,서대문구,심하지 않은 장애,여자,3439
202503,서울특별시,마포구,심한 장애,남자,2716
202503,서울특별시,마포구,심한 장애,여자,1920
202503,서울특별시,마포구,심하지 않은 장애,남자,4212
202503,서울특별시,마포구,심하지 않은 장애,여자,3461
202503,서울특별시,양천구,심한 장애,남자,3630
202503,서울특별시,양천구,심한 장애,여자,2396
202503,서울특별시,양천구,심하지 않은 장애,남자,6619
202503,서울특별시,양천구,심하지 않은 장애,여자,4954
202503,서울특별시,강서구,심한 장애,남자,6770
202503,서울특별시,강서구,심한 장애,여자,4574
202503,서울특별시,강서구,심하지 않은 장애,남자,9306
202503,서울특별시,강서구,심하지 않은 장애,여자,7092
202503,서울특별시,구로구,심한 장애,남자,3915
202503,서울특별시,구로구,심한 장애,여자,2593
202503,서울특별시,구로구,심하지 않은 장애,남자,7387
202503,서울특별시,구로구,심하지 않은 장애,여자,5370
202503,서울특별시,금천구,심한 장애,남자,2468
202503,서울특별시,금천구,심한 장애,여자,1599
202503,서울특별시,금천구,심하지 않은 장애,남자,4677
202503,서울특별시,금천구,심하지 않은 장애,여자,3266
202503,서울특별시,영등포구,심한 장애,남자,3021
202503,서울특별시,영등포구,심한 장애,여자,1776
202503,서울특별시,영등포구,심하지 않은 장애,남자,5724
202503,서울특별시,영등포구,심하지 않은 장애,여자,4227
202503,서울특별시,동작구,심한 장애,남자,2916
202503,서울특별시,동작구,심한 장애,여자,1993
202503,서울특별시,동작구,심하지 않은 장애,남자,5093
202503,서울특별시,동작구,심하지 않은 장애,여자,3965
202503,서울특별시,관악구,심한 장애,남자,4168
202503,서울특별시,관악구,심한 장애,여자,2759
202503,서울특별시,관악구,심하지 않은 장애,남자,7449
202503,서울특별시,관악구,심하지 않은 장애,여자,5577
202503,서울특별시,서초구,심한 장애,남자,2354
202503,서울특별시,서초구,심한 장애,여자,1576
202503,서울특별시,서초구,심하지 않은 장애,남자,3534
202503,서울특별시,서초구,심하지 않은 장애,여자,2593
202503,서울특별시,강남구,심한 장애,남자,3960
202503,서울특별시,강남구,심한 장애,여자,2662
202503,서울특별시,강남구,심하지 않은 장애,남자,5058
202503,서울특별시,강남구,심하지 않은 장애,여자,3799
202503,서울특별시,송파구,심한 장애,남자,4692
202503,서울특별시,송파구,심한 장애,여자,2847
202503,서울특별시,송파구,심하지 않은 장애,남자,7248
202503,서울특별시,송파구,심하지 않은 장애,여자,5319
202503,서울특별시,강동구,심한 장애,남자,4482
202503,서울특별시,강동구,심한 장애,여자,2695
202503,서울특별시,강동구,심하지 않은 장애,남자,7065
202503,서울특별시,강동구,심하지 않은 장애,여자,5045
202503,부산광역시,중구,심한 장애,남자,508
202503,부산광역시,중구,심한 장애,여자,313
202503,부산광역시,중구,심하지 않은 장애,남자,919
202503,부산광역시,중구,심하지 않은 장애,여자,720
202503,부산광역시,서구,심한 장애,남자,1469
202503,부산광역시,서구,심한 장애,여자,951
202503,부산광역시,서구,심하지 않은 장애,남자,2330
202503,부산광역시,서구,심하지 않은 장애,여자,1774
202503,부산광역시,동구,심한 장애,남자,1273
202503,부산광역시,동구,심한 장애,여자,769
202503,부산광역시,동구,심하지 않은 장애,남자,2072
202503,부산광역시,동구,심하지 않은 장애,여자,1769
202503,부산광역시,영도구,심한 장애,남자,1938
202503,부산광역시,영도구,심한 장애,여자,1378
202503,부산광역시,영도구,심하지 않은 장애,남자,2867
202503,부산광역시,영도구,심하지 않은 장애,여자,2258
202503,부산광역시,부산진구,심한 장애,남자,4041
202503,부산광역시,부산진구,심한 장애,여자,2608
202503,부산광역시,부산진구,심하지 않은 장애,남자,6911
202503,부산광역시,부산진구,심하지 않은 장애,여자,5084
202503,부산광역시,동래구,심한 장애,남자,2691
202503,부산광역시,동래구,심한 장애,여자,1676
202503,부산광역시,동래구,심하지 않은 장애,남자,4368
202503,부산광역시,동래구,심하지 않은 장애,여자,3195
