통계연월,통계시도명,통계시군구명,장애정도,성별,등록장애인수
202408,서울특별시,종로구,심한 장애,남자,1232
202408,서울특별시,종로구,심한 장애,여자,839
202408,서울특별시,종로구,심하지 않은 장애,남자,2007
202408,서울특별시,종로구,심하지 않은 장애,여자,1557
202408,서울특별시,중구,심한 장애,남자,1118
202408,서울특별시,중구,심한 장애,여자,761
202408,서울특별시,중구,심하지 않은 장애,남자,1939
202408,서울특별시,중구,심하지 않은 장애,여자,1553
202408,서울특별시,용산구,심한 장애,남자,1514
202408,서울특별시,용산구,심한 장애,여자,958
202408,서울특별시,용산구,심하지 않은 장애,남자,2550
202408,서울특별시,용산구,심하지 않은 장애,여자,1900
202408,서울특별시,성동구,심한 장애,남자,2228
202408,서울특별시,성동구,심한 장애,여자,1452
202408,서울특별시,성동구,심하지 않은 장애,남자,3989
202408,서울특별시,성동구,심하지 않은 장애,여자,3129
202408,서울특별시,광진구,심한 장애,남자,2495
202408,서울특별시,광진구,심한 장애,여자,1701
202408,서울특별시,광진구,심하지 않은 장애,남자,4466
202408,서울특별시,광진구,심하지 않은 장애,여자,3394
202408,서울특별시,동대문구,심한 장애,남자,3169
202408,서울특별시,동대문구,심한 장애,여자,2018
202408,서울특별시,동대문구,심하지 않은 장애,남자,5680
202408,서울특별시,동대문구,심하지 않은 장애,여자,4454
202408,서울특별시,중랑구,심한 장애,남자,4441
202408,서울특별시,중랑구,심한 장애,여자,2978
202408,서울특별시,중랑구,심하지 않은 장애,남자,7208
202408,서울특별시,중랑구,심하지 않은 장애,여자,5437
202408,서울특별시,성북구,심한 장애,남자,3505
202408,서울특별시,성북구,심한 장애,여자,2377
202408,서울특별시,성북구,심하지 않은 장애,남자,6158
202408,서울특별시,성북구,심하지 않은 장애,여자,4896
202408,서울특별시,강북구,심한 장애,남자,3621
202408,서울특별시,강북구,심한 장애,여자,2601
202408,서울특별시,강북구,심하지 않은 장애,남자,5856
202408,서울특별시,강북구,심하지 않은 장애,여자,4747
202408,서울특별시,도봉구,심한 장애,남자,3208
202408,서울특별시,도봉구,심한 장애,여자,2161
202408,서울특별시,도봉구,심하지 않은 장애,남자,5496
202408,서울특별시,도봉구,심하지 않은 장애,여자,4232
202408,서울특별시,노원구,심한 장애,남자,6447
202408,서울특별시,노원구,심한 장애,여자,4730
202408,서울특별시,노원구,심하지 않은 장애,남자,7896
202408,서울특별시,노원구,심하지 않은 장애,여자,6914
202408,서울특별시,은평구,심한 장애,남자,5074
202408,서울특별시,은평구,심한 장애,여자,3033
202408,서울특별시,은평구,심하지 않은 장애,남자,7370
202408,서울특별시,은평구,심하지 않은 장애,여자,5892
202408,서울특별시,서대문구,심한 장애,남자,2511
202408,서울특별시,서대문구,심한 장애,여자,1774
202408,서울특별시,서대문구,심하지 않은 장애,남자,4187
202408,서울특별시,서대문구,심하지 않은 장애,여자,3472
202408,서울특별시,마포구,심한 장애,남자,2786
202408,서울특별시,마포구,심한 장애,여자,1949
202408,서울특별시,마포구,심하지 않은 장애,남자,4270
202408,서울특별시,마포구,심하지 않은 장애,여자,3500
202408,서울특별시,양천구,심한 장애,남자,3689
202408,서울특별시,양천구,심한 장애,여자,2449
202408,서울특별시,양천구,심하지 않은 장애,남자,6563
202408,서울특별시,양천구,심하지 않은 장애,여자,4896
202408,서울특별시,강서구,심한 장애,남자,6895
202408,서울특별시,강서구,심한 장애,여자,4649
202408,서울특별시,강서구,심하지 않은 장애,남자,9382
202408,서울특별시,강서구,심하지 않은 장애,여자,7130
202408,서울특별시,구로구,심한 장애,남자,3921
202408,서울특별시,구로구,심한 장애,여자,2589
202408,서울특별시,구로구,심하지 않은 장애,남자,7299
202408,서울특별시,구로구,심하지 않은 장애,여자,5271
202408,서울특별시,금천구,심한 장애,남자,2485
202408,서울특별시,금천구,심한 장애,여자,1603
202408,서울특별시,금천구,심하지 않은 장애,남자,4631
202408,서울특별시,금천구,심하지 않은 장애,여자,3203
202408,서울특별시,영등포구,심한 장애,남자,3059
202408,서울특별시,영등포구,심한 장애,여자,1820
202408,서울특별시,영등포구,심하지 않은 장애,남자,5727
202408,서울특별시,영등포구,심하지 않은 장애,여자,4205
202408,서울특별시,동작구,심한 장애,남자,2949
202408,서울특별시,동작구,심한 장애,여자,2030
202408,서울특별시,동작구,심하지 않은 장애,남자,5100
202408,서울특별시,동작구,심하지 않은 장애,여자,3969
202408,서울특별시,관악구,심한 장애,남자,4250
202408,서울특별시,관악구,심한 장애,여자,2792
202408,서울특별시,관악구,심하지 않은 장애,남자,7482
202408,서울특별시,관악구,심하지 않은 장애,여자,5512
202408,서울특별시,서초구,심한 장애,남자,2386
202408,서울특별시,서초구,심한 장애,여자,1595
202408,서울특별시,서초구,심하지 않은 장애,남자,3571
202408,서울특별시,서초구,심하지 않은 장애,여자,2603
202408,서울특별시,강남구,심한 장애,남자,4009
202408,서울특별시,강남구,심한 장애,여자,2679
202408,서울특별시,강남구,심하지 않은 장애,남자,5049
202408,서울특별시,강남구,심하지 않은 장애,여자,3814
202408,서울특별시,송파구,심한 장애,남자,4752
202408,서울특별시,송파구,심한 장애,여자,2871
202408,서울특별시,송파구,심하지 않은 장애,남자,7243
202408,서울특별시,송파구,심하지 않은 장애,여자,5391
202408,서울특별시,강동구,심한 장애,남자,4438
202408,서울특별시,강동구,심한 장애,여자,2625
202408,서울특별시,강동구,심하지 않은 장애,남자,6837
202408,서울특별시,강동구,심하지 않은 장애,여자,4864
202408,부산광역시,중구,심한 장애,남자,519
202408,부산광역시,중구,심한 장애,여자,317
202408,부산광역시,중구,심하지 않은 장애,남자,926
202408,부산광역시,중구,심하지 않은 장애,여자,718
202408,부산광역시,서구,심한 장애,남자,1472
202408,부산광역시,서구,심한 장애,여자,967
202408,부산광역시,서구,심하지 않은 장애,남자,2333
202408,부산광역시,서구,심하지 않은 장애,여자,1774
202408,부산광역시,동구,심한 장애,남자,1289
202408,부산광역시,동구,심한 장애,여자,774
202408,부산광역시,동구,심하지 않은 장애,남자,2115
202408,부산광역시,동구,심하지 않은 장애,여자,1800
202408,부산광역시,영도구,심한 장애,남자,1969
202408,부산광역시,영도구,심한 장애,여자,1396
202408,부산광역시,영도구,심하지 않은 장애,남자,2904
202408,부산광역시,영도구,심하지 않은 장애,여자,2295
202408,부산광역시,부산진구,심한 장애,남자,4064
202408,부산광역시,부산진구,심한 장애,여자,2601
202408,부산광역시,부산진구,심하지 않은 장애,남자,6922
202408,부산광역시,부산진구,심하지 않은 장애,여자,5119
202408,부산광역시,동래구,심한 장애,남자,2690
202408,부산광역시,동래구,심한 장애,여자,1680
202408,부산광역시,동래구,심하지 않은 장애,남자,4303
202408,부산광역시,동래구,심하지 않은 장애,여자,3155
202408,부산광역시,남구,심한 장애,남자,2890
202408,부산광역시,남구,심한 장애,여자,1857
202408,부산광역시,남구,심하지 않은 장애,남자,4705
202408,부산광역시,남구,심하지 않은 장애,여자,3287
202408,부산광역시,북구,심한 장애,남자,3859
202408,부산광역시,북구,심한 장애,여자,2452
202408,부산광역시,북구,심하지 않은 장애,남자,5674
202408,부산광역시,북구,심하지 않은 장애,여자,3994
202408,부산광역시,해운대구,심한 장애,남자,3934
202408,부산광역시,해운대구,심한 장애,여자,2614
202408,부산광역시,해운대구,심하지 않은 장애,남자,6113
202408,부산광역시,해운대구,심하지 않은 장애,여자,4652
202408,부산광역시,사하구,심한 장애,남자,4051
202408,부산광역시,사하구,심한 장애,여자,2795
202408,부산광역시,사하구,심하지 않은 장애,남자,6542
202408,부산광역시,사하구,심하지 않은 장애,여자,4556
202408,부산광역시,금정구,심한 장애,남자,2549
202408,부산광역시,금정구,심한 장애,여자,1671
202408,부산광역시,금정구,심하지 않은 장애,남자,4089
202408,부산광역시,금정구,심하지 않은 장애,여자,3034
202408,부산광역시,강서구,심한 장애,남자,1181
202408,부산광역시,강서구,심한 장애,여자,712
202408,부산광역시,강서구,심하지 않은 장애,남자,2046
202408,부산광역시,강서구,심하지 않은 장애,여자,1277
202408,부산광역시,연제구,심한 장애,남자,2142
