통계연월,통계시도명,통계시군구명,장애정도,성별,등록장애인수
202501,서울특별시,종로구,심한 장애,남자,1231
202501,서울특별시,종로구,심한 장애,여자,834
202501,서울특별시,종로구,심하지 않은 장애,남자,1997
202501,서울특별시,종로구,심하지 않은 장애,여자,1552
202501,서울특별시,중구,심한 장애,남자,1097
202501,서울특별시,중구,심한 장애,여자,750
202501,서울특별시,중구,심하지 않은 장애,남자,1909
202501,서울특별시,중구,심하지 않은 장애,여자,1537
202501,서울특별시,용산구,심한 장애,남자,1498
202501,서울특별시,용산구,심한 장애,여자,952
202501,서울특별시,용산구,심하지 않은 장애,남자,2528
202501,서울특별시,용산구,심하지 않은 장애,여자,1880
202501,서울특별시,성동구,심한 장애,남자,2224
202501,서울특별시,성동구,심한 장애,여자,1434
202501,서울특별시,성동구,심하지 않은 장애,남자,3977
202501,서울특별시,성동구,심하지 않은 장애,여자,3094
202501,서울특별시,광진구,심한 장애,남자,2467
202501,서울특별시,광진구,심한 장애,여자,1692
202501,서울특별시,광진구,심하지 않은 장애,남자,4468
202501,서울특별시,광진구,심하지 않은 장애,여자,3391
202501,서울특별시,동대문구,심한 장애,남자,3106
202501,서울특별시,동대문구,심한 장애,여자,1994
202501,서울특별시,동대문구,심하지 않은 장애,남자,5649
202501,서울특별시,동대문구,심하지 않은 장애,여자,4456
202501,서울특별시,중랑구,심한 장애,남자,4408
202501,서울특별시,중랑구,심한 장애,여자,2944
202501,서울특별시,중랑구,심하지 않은 장애,남자,7218
202501,서울특별시,중랑구,심하지 않은 장애,여자,5465
202501,서울특별시,성북구,심한 장애,남자,3495
202501,서울특별시,성북구,심한 장애,여자,2363
202501,서울특별시,성북구,심하지 않은 장애,남자,6118
202501,서울특별시,성북구,심하지 않은 장애,여자,4892
202501,서울특별시,강북구,심한 장애,남자,3583
202501,서울특별시,강북구,심한 장애,여자,2598
202501,서울특별시,강북구,심하지 않은 장애,남자,5862
202501,서울특별시,강북구,심하지 않은 장애,여자,4745
202501,서울특별시,도봉구,심한 장애,남자,3188
202501,서울특별시,도봉구,심한 장애,여자,2165
202501,서울특별시,도봉구,심하지 않은 장애,남자,5535
202501,서울특별시,도봉구,심하지 않은 장애,여자,4215
202501,서울특별시,노원구,심한 장애,남자,6363
202501,서울특별시,노원구,심한 장애,여자,4669
202501,서울특별시,노원구,심하지 않은 장애,남자,7844
202501,서울특별시,노원구,심하지 않은 장애,여자,6876
202501,서울특별시,은평구,심한 장애,남자,5047
202501,서울특별시,은평구,심한 장애,여자,3016
202501,서울특별시,은평구,심하지 않은 장애,남자,7355
202501,서울특별시,은평구,심하지 않은 장애,여자,5867
202501,서울특별시,서대문구,심한 장애,남자,2455
202501,서울특별시,서대문구,심한 장애,여자,1727
202501,서울특별시,서대문구,심하지 않은 장애,남자,4183
202501,서울특별시,서대문구,심하지 않은 장애,여자,3443
202501,서울특별시,마포구,심한 장애,남자,2745
202501,서울특별시,마포구,심한 장애,여자,1914
202501,서울특별시,마포구,심하지 않은 장애,남자,4233
202501,서울특별시,마포구,심하지 않은 장애,여자,3479
202501,서울특별시,양천구,심한 장애,남자,3634
202501,서울특별시,양천구,심한 장애,여자,2422
202501,서울특별시,양천구,심하지 않은 장애,남자,6601
202501,서울특별시,양천구,심하지 않은 장애,여자,4929
202501,서울특별시,강서구,심한 장애,남자,6823
202501,서울특별시,강서구,심한 장애,여자,4584
202501,서울특별시,강서구,심하지 않은 장애,남자,9328
202501,서울특별시,강서구,심하지 않은 장애,여자,7112
202501,서울특별시,구로구,심한 장애,남자,3911
202501,서울특별시,구로구,심한 장애,여자,2589
202501,서울특별시,구로구,심하지 않은 장애,남자,7375
202501,서울특별시,구로구,심하지 않은 장애,여자,5364
202501,서울특별시,금천구,심한 장애,남자,2480
202501,서울특별시,금천구,심한 장애,여자,1591
202501,서울특별시,금천구,심하지 않은 장애,남자,4667
202501,서울특별시,금천구,심하지 않은 장애,여자,3257
202501,서울특별시,영등포구,심한 장애,남자,3044
202501,서울특별시,영등포구,심한 장애,여자,1775
202501,서울특별시,영등포구,심하지 않은 장애,남자,5712
202501,서울특별시,영등포구,심하지 않은 장애,여자,4206
202501,서울특별시,동작구,심한 장애,남자,2935
202501,서울특별시,동작구,심한 장애,여자,2005
202501,서울특별시,동작구,심하지 않은 장애,남자,5118
202501,서울특별시,동작구,심하지 않은 장애,여자,3964
202501,서울특별시,관악구,심한 장애,남자,4174
202501,서울특별시,관악구,심한 장애,여자,2761
202501,서울특별시,관악구,심하지 않은 장애,남자,7459
202501,서울특별시,관악구,심하지 않은 장애,여자,5550
202501,서울특별시,서초구,심한 장애,남자,2370
202501,서울특별시,서초구,심한 장애,여자,1592
202501,서울특별시,서초구,심하지 않은 장애,남자,3578
202501,서울특별시,서초구,심하지 않은 장애,여자,2603
202501,서울특별시,강남구,심한 장애,남자,3953
202501,서울특별시,강남구,심한 장애,여자,2662
202501,서울특별시,강남구,심하지 않은 장애,남자,5051
202501,서울특별시,강남구,심하지 않은 장애,여자,3796
202501,서울특별시,송파구,심한 장애,남자,4712
202501,서울특별시,송파구,심한 장애,여자,2867
202501,서울특별시,송파구,심하지 않은 장애,남자,7249
202501,서울특별시,송파구,심하지 않은 장애,여자,5331
202501,서울특별시,강동구,심한 장애,남자,4429
202501,서울특별시,강동구,심한 장애,여자,2677
202501,서울특별시,강동구,심하지 않은 장애,남자,6988
202501,서울특별시,강동구,심하지 않은 장애,여자,4987
202501,부산광역시,중구,심한 장애,남자,513
202501,부산광역시,중구,심한 장애,여자,314
202501,부산광역시,중구,심하지 않은 장애,남자,929
202501,부산광역시,중구,심하지 않은 장애,여자,721
202501,부산광역시,서구,심한 장애,남자,1474
202501,부산광역시,서구,심한 장애,여자,950
