통계연월,통계시도명,통계시군구명,장애정도,성별,등록장애인수
202201,서울특별시,종로구,심한 장애,남자,1315
202201,서울특별시,종로구,심한 장애,여자,891
202201,서울특별시,종로구,심하지 않은 장애,남자,2100
202201,서울특별시,종로구,심하지 않은 장애,여자,1611
202201,서울특별시,중구,심한 장애,남자,1180
202201,서울특별시,중구,심한 장애,여자,776
202201,서울특별시,중구,심하지 않은 장애,남자,2066
202201,서울특별시,중구,심하지 않은 장애,여자,1586
202201,서울특별시,용산구,심한 장애,남자,1628
202201,서울특별시,용산구,심한 장애,여자,1108
202201,서울특별시,용산구,심하지 않은 장애,남자,2801
202201,서울특별시,용산구,심하지 않은 장애,여자,2122
202201,서울특별시,성동구,심한 장애,남자,2331
202201,서울특별시,성동구,심한 장애,여자,1498
202201,서울특별시,성동구,심하지 않은 장애,남자,4180
202201,서울특별시,성동구,심하지 않은 장애,여자,3253
202201,서울특별시,광진구,심한 장애,남자,2562
202201,서울특별시,광진구,심한 장애,여자,1756
202201,서울특별시,광진구,심하지 않은 장애,남자,4496
202201,서울특별시,광진구,심하지 않은 장애,여자,3399
202201,서울특별시,동대문구,심한 장애,남자,3251
202201,서울특별시,동대문구,심한 장애,여자,2065
202201,서울특별시,동대문구,심하지 않은 장애,남자,5736
202201,서울특별시,동대문구,심하지 않은 장애,여자,4424
202201,서울특별시,중랑구,심한 장애,남자,4471
202201,서울특별시,중랑구,심한 장애,여자,3018
202201,서울특별시,중랑구,심하지 않은 장애,남자,7279
202201,서울특별시,중랑구,심하지 않은 장애,여자,5519
202201,서울특별시,성북구,심한 장애,남자,3561
202201,서울특별시,성북구,심한 장애,여자,2464
202201,서울특별시,성북구,심하지 않은 장애,남자,6351
202201,서울특별시,성북구,심하지 않은 장애,여자,4982
202201,서울특별시,강북구,심한 장애,남자,3785
202201,서울특별시,강북구,심한 장애,여자,2662
202201,서울특별시,강북구,심하지 않은 장애,남자,6115
202201,서울특별시,강북구,심하지 않은 장애,여자,4804
202201,서울특별시,도봉구,심한 장애,남자,3302
202201,서울특별시,도봉구,심한 장애,여자,2217
202201,서울특별시,도봉구,심하지 않은 장애,남자,5538
202201,서울특별시,도봉구,심하지 않은 장애,여자,4218
202201,서울특별시,노원구,심한 장애,남자,6812
202201,서울특별시,노원구,심한 장애,여자,4898
202201,서울특별시,노원구,심하지 않은 장애,남자,7941
202201,서울특별시,노원구,심하지 않은 장애,여자,7095
202201,서울특별시,은평구,심한 장애,남자,5177
202201,서울특별시,은평구,심한 장애,여자,3122
202201,서울특별시,은평구,심하지 않은 장애,남자,7504
202201,서울특별시,은평구,심하지 않은 장애,여자,5937
202201,서울특별시,서대문구,심한 장애,남자,2548
202201,서울특별시,서대문구,심한 장애,여자,1824
202201,서울특별시,서대문구,심하지 않은 장애,남자,4237
202201,서울특별시,서대문구,심하지 않은 장애,여자,3635
202201,서울특별시,마포구,심한 장애,남자,2819
202201,서울특별시,마포구,심한 장애,여자,2050
202201,서울특별시,마포구,심하지 않은 장애,남자,4425
202201,서울특별시,마포구,심하지 않은 장애,여자,3579
202201,서울특별시,양천구,심한 장애,남자,3789
202201,서울특별시,양천구,심한 장애,여자,2516
202201,서울특별시,양천구,심하지 않은 장애,남자,6369
202201,서울특별시,양천구,심하지 않은 장애,여자,4822
202201,서울특별시,강서구,심한 장애,남자,7149
202201,서울특별시,강서구,심한 장애,여자,4853
202201,서울특별시,강서구,심하지 않은 장애,남자,9382
202201,서울특별시,강서구,심하지 않은 장애,여자,7110
202201,서울특별시,구로구,심한 장애,남자,3952
202201,서울특별시,구로구,심한 장애,여자,2592
202201,서울특별시,구로구,심하지 않은 장애,남자,6965
202201,서울특별시,구로구,심하지 않은 장애,여자,4833
202201,서울특별시,금천구,심한 장애,남자,2495
202201,서울특별시,금천구,심한 장애,여자,1587
202201,서울특별시,금천구,심하지 않은 장애,남자,4428
202201,서울특별시,금천구,심하지 않은 장애,여자,2965
202201,서울특별시,영등포구,심한 장애,남자,3046
202201,서울특별시,영등포구,심한 장애,여자,1838
202201,서울특별시,영등포구,심하지 않은 장애,남자,5604
202201,서울특별시,영등포구,심하지 않은 장애,여자,4014
202201,서울특별시,동작구,심한 장애,남자,3060
202201,서울특별시,동작구,심한 장애,여자,2105
202201,서울특별시,동작구,심하지 않은 장애,남자,5186
202201,서울특별시,동작구,심하지 않은 장애,여자,4010
202201,서울특별시,관악구,심한 장애,남자,4404
202201,서울특별시,관악구,심한 장애,여자,2919
202201,서울특별시,관악구,심하지 않은 장애,남자,7411
202201,서울특별시,관악구,심하지 않은 장애,여자,5395
202201,서울특별시,서초구,심한 장애,남자,2438
202201,서울특별시,서초구,심한 장애,여자,1614
202201,서울특별시,서초구,심하지 않은 장애,남자,3603
202201,서울특별시,서초구,심하지 않은 장애,여자,2587
202201,서울특별시,강남구,심한 장애,남자,4010
202201,서울특별시,강남구,심한 장애,여자,2759
202201,서울특별시,강남구,심하지 않은 장애,남자,4760
202201,서울특별시,강남구,심하지 않은 장애,여자,3631
202201,서울특별시,송파구,심한 장애,남자,4788
202201,서울특별시,송파구,심한 장애,여자,2945
202201,서울특별시,송파구,심하지 않은 장애,남자,7257
202201,서울특별시,송파구,심하지 않은 장애,여자,5340
202201,서울특별시,강동구,심한 장애,남자,4395
202201,서울특별시,강동구,심한 장애,여자,2668
202201,서울특별시,강동구,심하지 않은 장애,남자,6734
202201,서울특별시,강동구,심하지 않은 장애,여자,4761
202201,부산광역시,중구,심한 장애,남자,549
202201,부산광역시,중구,심한 장애,여자,349
202201,부산광역시,중구,심하지 않은 장애,남자,942
202201,부산광역시,중구,심하지 않은 장애,여자,784
202201,부산광역시,서구,심한 장애,남자,1545
202201,부산광역시,서구,심한 장애,여자,974
202201,부산광역시,서구,심하지 않은 장애,남자,2316
202201,부산광역시,서구,심하지 않은 장애,여자,1747
202201,부산광역시,동구,심한 장애,남자,1355
202201,부산광역시,동구,심한 장애,여자,808
202201,부산광역시,동구,심하지 않은 장애,남자,2104
202201,부산광역시,동구,심하지 않은 장애,여자,1819
202201,부산광역시,영도구,심한 장애,남자,2118
202201,부산광역시,영도구,심한 장애,여자,1473
202201,부산광역시,영도구,심하지 않은 장애,남자,2989
202201,부산광역시,영도구,심하지 않은 장애,여자,2404
202201,부산광역시,부산진구,심한 장애,남자,4108
202201,부산광역시,부산진구,심한 장애,여자,2582
202201,부산광역시,부산진구,심하지 않은 장애,남자,6849
202201,부산광역시,부산진구,심하지 않은 장애,여자,5057
202201,부산광역시,동래구,심한 장애,남자,2715
202201,부산광역시,동래구,심한 장애,여자,1702
202201,부산광역시,동래구,심하지 않은 장애,남자,4242
202201,부산광역시,동래구,심하지 않은 장애,여자,3104
202201,부산광역시,남구,심한 장애,남자,3025
202201,부산광역시,남구,심한 장애,여자,1977
202201,부산광역시,남구,심하지 않은 장애,남자,4763
202201,부산광역시,남구,심하지 않은 장애,여자,3304
202201,부산광역시,북구,심한 장애,남자,3925
202201,부산광역시,북구,심한 장애,여자,2481
202201,부산광역시,북구,심하지 않은 장애,남자,5746
202201,부산광역시,북구,심하지 않은 장애,여자,4020
202201,부산광역시,해운대구,심한 장애,남자,4077
202201,부산광역시,해운대구,심한 장애,여자,2773
202201,부산광역시,해운대구,심하지 않은 장애,남자,6150
202201,부산광역시,해운대구,심하지 않은 장애,여자,4723
202201,부산광역시,사하구,심한 장애,남자,4064
202201,부산광역시,사하구,심한 장애,여자,2867
202201,부산광역시,사하구,심하지 않은 장애,남자,6419
202201,부산광역시,사하구,심하지 않은 장애,여자,4488
202201,부산광역시,금정구,심한 장애,남자,2645
202201,부산광역시,금정구,심한 장애,여자,1763
202201,부산광역시,금정구,심하지 않은 장애,남자,4163
202201,부산광역시,금정구,심하지 않은 장애,여자,3058
202201,부산광역시,강서구,심한 장애,남자,1161
202201,부산광역시,강서구,심한 장애,여자,721
202201,부산광역시,강서구,심하지 않은 장애,남자,2059
202201,부산광역시,강서구,심하지 않은 장애,여자,1279
202201,부산광역시,연제구,심한 장애,남자,2188
202201,부산광역시,연제구,심한 장애,여자,1430
202201,부산광역시,연제구,심하지 않은 장애,남자,3616
202201,부산광역시,연제구,심하지 않은 장애,여자,2654
202201,부산광역시,수영구,심한 장애,남자,1822
202201,부산광역시,수영구,심한 장애,여자,1268
202201,부산광역시,수영구,심하지 않은 장애,남자,2888
202201,부산광역시,수영구,심하지 않은 장애,여자,2205
202201,부산광역시,사상구,심한 장애,남자,3266
202201,부산광역시,사상구,심한 장애,여자,2025
202201,부산광역시,사상구,심하지 않은 장애,남자,4938
202201,부산광역시,사상구,심하지 않은 장애,여자,3192
202201,부산광역시,기장군,심한 장애,남자,1980
202201,부산광역시,기장군,심한 장애,여자,1314
202201,부산광역시,기장군,심하지 않은 장애,남자,3007
202201,부산광역시,기장군,심하지 않은 장애,여자,2204
202201,대구광역시,중구,심한 장애,남자,801
202201,대구광역시,중구,심한 장애,여자,584
202201,대구광역시,중구,심하지 않은 장애,남자,1396
202201,대구광역시,중구,심하지 않은 장애,여자,1147
202201,대구광역시,동구,심한 장애,남자,4485
202201,대구광역시,동구,심한 장애,여자,2918
202201,대구광역시,동구,심하지 않은 장애,남자,7315
202201,대구광역시,동구,심하지 않은 장애,여자,5715
202201,대구광역시,서구,심한 장애,남자,2392
202201,대구광역시,서구,심한 장애,여자,1552
202201,대구광역시,서구,심하지 않은 장애,남자,4444
202201,대구광역시,서구,심하지 않은 장애,여자,3366
202201,대구광역시,남구,심한 장애,남자,1964
202201,대구광역시,남구,심한 장애,여자,1389
202201,대구광역시,남구,심하지 않은 장애,남자,3424
202201,대구광역시,남구,심하지 않은 장애,여자,2702
202201,대구광역시,북구,심한 장애,남자,4773
202201,대구광역시,북구,심한 장애,여자,3268
202201,대구광역시,북구,심하지 않은 장애,남자,8437
202201,대구광역시,북구,심하지 않은 장애,여자,5828
202201,대구광역시,수성구,심한 장애,남자,3959
202201,대구광역시,수성구,심한 장애,여자,2891
202201,대구광역시,수성구,심하지 않은 장애,남자,6391
202201,대구광역시,수성구,심하지 않은 장애,여자,4951
202201,대구광역시,달서구,심한 장애,남자,6436
202201,대구광역시,달서구,심한 장애,여자,4366
202201,대구광역시,달서구,심하지 않은 장애,남자,10191
202201,대구광역시,달서구,심하지 않은 장애,여자,7411
202201,대구광역시,달성군,심한 장애,남자,2830
202201,대구광역시,달성군,심한 장애,여자,1995
202201,대구광역시,달성군,심하지 않은 장애,남자,4657
202201,대구광역시,달성군,심하지 않은 장애,여자,3217
202201,인천광역시,중구,심한 장애,남자,1305
202201,인천광역시,중구,심한 장애,여자,831
202201,인천광역시,중구,심하지 않은 장애,남자,2669
202201,인천광역시,중구,심하지 않은 장애,여자,1745
202201,인천광역시,동구,심한 장애,남자,966
202201,인천광역시,동구,심한 장애,여자,630
202201,인천광역시,동구,심하지 않은 장애,남자,1797
202201,인천광역시,동구,심하지 않은 장애,여자,1352
202201,인천광역시,미추홀구,심한 장애,남자,4717
202201,인천광역시,미추홀구,심한 장애,여자,3162
202201,인천광역시,미추홀구,심하지 않은 장애,남자,9235
202201,인천광역시,미추홀구,심하지 않은 장애,여자,6223
202201,인천광역시,연수구,심한 장애,남자,3194
202201,인천광역시,연수구,심한 장애,여자,2040
202201,인천광역시,연수구,심하지 않은 장애,남자,5208
202201,인천광역시,연수구,심하지 않은 장애,여자,3555
202201,인천광역시,남동구,심한 장애,남자,5951
202201,인천광역시,남동구,심한 장애,여자,3815
202201,인천광역시,남동구,심하지 않은 장애,남자,9916
202201,인천광역시,남동구,심하지 않은 장애,여자,6963
202201,인천광역시,부평구,심한 장애,남자,5988
202201,인천광역시,부평구,심한 장애,여자,4116
202201,인천광역시,부평구,심하지 않은 장애,남자,9695
202201,인천광역시,부평구,심하지 않은 장애,여자,7158
202201,인천광역시,계양구,심한 장애,남자,3162
202201,인천광역시,계양구,심한 장애,여자,2153
202201,인천광역시,계양구,심하지 않은 장애,남자,5773
202201,인천광역시,계양구,심하지 않은 장애,여자,3803
202201,인천광역시,서구,심한 장애,남자,5131
202201,인천광역시,서구,심한 장애,여자,3432
202201,인천광역시,서구,심하지 않은 장애,남자,9442
202201,인천광역시,서구,심하지 않은 장애,여자,5999
202201,인천광역시,강화군,심한 장애,남자,1344
202201,인천광역시,강화군,심한 장애,여자,897
202201,인천광역시,강화군,심하지 않은 장애,남자,2021
202201,인천광역시,강화군,심하지 않은 장애,여자,1647
202201,인천광역시,옹진군,심한 장애,남자,332
202201,인천광역시,옹진군,심한 장애,여자,197
202201,인천광역시,옹진군,심하지 않은 장애,남자,579
202201,인천광역시,옹진군,심하지 않은 장애,여자,447
202201,광주광역시,동구,심한 장애,남자,1259
202201,광주광역시,동구,심한 장애,여자,929
202201,광주광역시,동구,심하지 않은 장애,남자,1941
202201,광주광역시,동구,심하지 않은 장애,여자,1539
202201,광주광역시,서구,심한 장애,남자,3213
202201,광주광역시,서구,심한 장애,여자,2203
202201,광주광역시,서구,심하지 않은 장애,남자,4586
202201,광주광역시,서구,심하지 않은 장애,여자,3665
202201,광주광역시,남구,심한 장애,남자,2437
202201,광주광역시,남구,심한 장애,여자,2069
202201,광주광역시,남구,심하지 않은 장애,남자,3614
202201,광주광역시,남구,심하지 않은 장애,여자,3122
202201,광주광역시,북구,심한 장애,남자,5008
202201,광주광역시,북구,심한 장애,여자,3553
202201,광주광역시,북구,심하지 않은 장애,남자,7229
202201,광주광역시,북구,심하지 않은 장애,여자,5804
202201,광주광역시,광산구,심한 장애,남자,4185
202201,광주광역시,광산구,심한 장애,여자,2927
202201,광주광역시,광산구,심하지 않은 장애,남자,6072
202201,광주광역시,광산구,심하지 않은 장애,여자,4458
202201,대전광역시,동구,심한 장애,남자,3473
202201,대전광역시,동구,심한 장애,여자,2308
202201,대전광역시,동구,심하지 않은 장애,남자,5107
202201,대전광역시,동구,심하지 않은 장애,여자,3682
202201,대전광역시,중구,심한 장애,남자,3157
202201,대전광역시,중구,심한 장애,여자,2054
202201,대전광역시,중구,심하지 않은 장애,남자,4980
202201,대전광역시,중구,심하지 않은 장애,여자,3764
202201,대전광역시,서구,심한 장애,남자,4790
202201,대전광역시,서구,심한 장애,여자,3327
202201,대전광역시,서구,심하지 않은 장애,남자,7302
202201,대전광역시,서구,심하지 않은 장애,여자,5376
202201,대전광역시,유성구,심한 장애,남자,2776
202201,대전광역시,유성구,심한 장애,여자,1976
