통계연월,통계시도명,통계시군구명,장애정도,성별,등록장애인수
202209,서울특별시,종로구,심한 장애,남자,1276
202209,서울특별시,종로구,심한 장애,여자,881
202209,서울특별시,종로구,심하지 않은 장애,남자,2088
202209,서울특별시,종로구,심하지 않은 장애,여자,1582
202209,서울특별시,중구,심한 장애,남자,1152
202209,서울특별시,중구,심한 장애,여자,759
202209,서울특별시,중구,심하지 않은 장애,남자,2028
202209,서울특별시,중구,심하지 않은 장애,여자,1592
202209,서울특별시,용산구,심한 장애,남자,1613
202209,서울특별시,용산구,심한 장애,여자,1095
202209,서울특별시,용산구,심하지 않은 장애,남자,2757
202209,서울특별시,용산구,심하지 않은 장애,여자,2135
202209,서울특별시,성동구,심한 장애,남자,2293
202209,서울특별시,성동구,심한 장애,여자,1495
202209,서울특별시,성동구,심하지 않은 장애,남자,4110
202209,서울특별시,성동구,심하지 않은 장애,여자,3202
202209,서울특별시,광진구,심한 장애,남자,2516
202209,서울특별시,광진구,심한 장애,여자,1740
202209,서울특별시,광진구,심하지 않은 장애,남자,4464
202209,서울특별시,광진구,심하지 않은 장애,여자,3387
202209,서울특별시,동대문구,심한 장애,남자,3196
202209,서울특별시,동대문구,심한 장애,여자,2043
202209,서울특별시,동대문구,심하지 않은 장애,남자,5720
202209,서울특별시,동대문구,심하지 않은 장애,여자,4433
202209,서울특별시,중랑구,심한 장애,남자,4437
202209,서울특별시,중랑구,심한 장애,여자,2974
202209,서울특별시,중랑구,심하지 않은 장애,남자,7244
202209,서울특별시,중랑구,심하지 않은 장애,여자,5473
202209,서울특별시,성북구,심한 장애,남자,3605
202209,서울특별시,성북구,심한 장애,여자,2477
202209,서울특별시,성북구,심하지 않은 장애,남자,6311
202209,서울특별시,성북구,심하지 않은 장애,여자,4968
202209,서울특별시,강북구,심한 장애,남자,3732
202209,서울특별시,강북구,심한 장애,여자,2642
202209,서울특별시,강북구,심하지 않은 장애,남자,6015
202209,서울특별시,강북구,심하지 않은 장애,여자,4767
202209,서울특별시,도봉구,심한 장애,남자,3242
202209,서울특별시,도봉구,심한 장애,여자,2191
202209,서울특별시,도봉구,심하지 않은 장애,남자,5527
202209,서울특별시,도봉구,심하지 않은 장애,여자,4196
202209,서울특별시,노원구,심한 장애,남자,6710
202209,서울특별시,노원구,심한 장애,여자,4819
202209,서울특별시,노원구,심하지 않은 장애,남자,7863
202209,서울특별시,노원구,심하지 않은 장애,여자,7013
202209,서울특별시,은평구,심한 장애,남자,5109
202209,서울특별시,은평구,심한 장애,여자,3109
202209,서울특별시,은평구,심하지 않은 장애,남자,7547
202209,서울특별시,은평구,심하지 않은 장애,여자,5933
202209,서울특별시,서대문구,심한 장애,남자,2548
202209,서울특별시,서대문구,심한 장애,여자,1799
202209,서울특별시,서대문구,심하지 않은 장애,남자,4219
202209,서울특별시,서대문구,심하지 않은 장애,여자,3621
202209,서울특별시,마포구,심한 장애,남자,2797
202209,서울특별시,마포구,심한 장애,여자,2045
202209,서울특별시,마포구,심하지 않은 장애,남자,4399
202209,서울특별시,마포구,심하지 않은 장애,여자,3519
202209,서울특별시,양천구,심한 장애,남자,3725
202209,서울특별시,양천구,심한 장애,여자,2485
202209,서울특별시,양천구,심하지 않은 장애,남자,6407
202209,서울특별시,양천구,심하지 않은 장애,여자,4803
202209,서울특별시,강서구,심한 장애,남자,7017
202209,서울특별시,강서구,심한 장애,여자,4774
202209,서울특별시,강서구,심하지 않은 장애,남자,9379
202209,서울특별시,강서구,심하지 않은 장애,여자,7103
202209,서울특별시,구로구,심한 장애,남자,3919
202209,서울특별시,구로구,심한 장애,여자,2583
