통계연월,통계시도명,통계시군구명,장애정도,성별,등록장애인수
202401,서울특별시,종로구,심한 장애,남자,1247
202401,서울특별시,종로구,심한 장애,여자,844
202401,서울특별시,종로구,심하지 않은 장애,남자,2033
202401,서울특별시,종로구,심하지 않은 장애,여자,1563
202401,서울특별시,중구,심한 장애,남자,1136
202401,서울특별시,중구,심한 장애,여자,758
202401,서울특별시,중구,심하지 않은 장애,남자,1970
202401,서울특별시,중구,심하지 않은 장애,여자,1557
202401,서울특별시,용산구,심한 장애,남자,1568
202401,서울특별시,용산구,심한 장애,여자,1009
202401,서울특별시,용산구,심하지 않은 장애,남자,2654
202401,서울특별시,용산구,심하지 않은 장애,여자,2016
202401,서울특별시,성동구,심한 장애,남자,2222
202401,서울특별시,성동구,심한 장애,여자,1472
202401,서울특별시,성동구,심하지 않은 장애,남자,4035
202401,서울특별시,성동구,심하지 않은 장애,여자,3165
202401,서울특별시,광진구,심한 장애,남자,2516
202401,서울특별시,광진구,심한 장애,여자,1732
202401,서울특별시,광진구,심하지 않은 장애,남자,4464
202401,서울특별시,광진구,심하지 않은 장애,여자,3392
202401,서울특별시,동대문구,심한 장애,남자,3177
202401,서울특별시,동대문구,심한 장애,여자,2008
202401,서울특별시,동대문구,심하지 않은 장애,남자,5713
202401,서울특별시,동대문구,심하지 않은 장애,여자,4436
202401,서울특별시,중랑구,심한 장애,남자,4452
202401,서울특별시,중랑구,심한 장애,여자,3003
202401,서울특별시,중랑구,심하지 않은 장애,남자,7222
202401,서울특별시,중랑구,심하지 않은 장애,여자,5487
202401,서울특별시,성북구,심한 장애,남자,3522
202401,서울특별시,성북구,심한 장애,여자,2425
202401,서울특별시,성북구,심하지 않은 장애,남자,6146
202401,서울특별시,성북구,심하지 않은 장애,여자,4914
202401,서울특별시,강북구,심한 장애,남자,3657
202401,서울특별시,강북구,심한 장애,여자,2619
202401,서울특별시,강북구,심하지 않은 장애,남자,5916
202401,서울특별시,강북구,심하지 않은 장애,여자,4724
202401,서울특별시,도봉구,심한 장애,남자,3232
202401,서울특별시,도봉구,심한 장애,여자,2146
202401,서울특별시,도봉구,심하지 않은 장애,남자,5484
202401,서울특별시,도봉구,심하지 않은 장애,여자,4221
202401,서울특별시,노원구,심한 장애,남자,6504
202401,서울특별시,노원구,심한 장애,여자,4750
202401,서울특별시,노원구,심하지 않은 장애,남자,7904
202401,서울특별시,노원구,심하지 않은 장애,여자,6939
202401,서울특별시,은평구,심한 장애,남자,5056
202401,서울특별시,은평구,심한 장애,여자,3047
202401,서울특별시,은평구,심하지 않은 장애,남자,7409
202401,서울특별시,은평구,심하지 않은 장애,여자,5868
202401,서울특별시,서대문구,심한 장애,남자,2500
202401,서울특별시,서대문구,심한 장애,여자,1768
202401,서울특별시,서대문구,심하지 않은 장애,남자,4171
202401,서울특별시,서대문구,심하지 않은 장애,여자,3497
202401,서울특별시,마포구,심한 장애,남자,2801
202401,서울특별시,마포구,심한 장애,여자,1991
202401,서울특별시,마포구,심하지 않은 장애,남자,4300
202401,서울특별시,마포구,심하지 않은 장애,여자,3519
202401,서울특별시,양천구,심한 장애,남자,3690
202401,서울특별시,양천구,심한 장애,여자,2431
202401,서울특별시,양천구,심하지 않은 장애,남자,6534
202401,서울특별시,양천구,심하지 않은 장애,여자,4878
202401,서울특별시,강서구,심한 장애,남자,6923
202401,서울특별시,강서구,심한 장애,여자,4670
202401,서울특별시,강서구,심하지 않은 장애,남자,9394
202401,서울특별시,강서구,심하지 않은 장애,여자,7144
202401,서울특별시,구로구,심한 장애,남자,3920
202401,서울특별시,구로구,심한 장애,여자,2606
202401,서울특별시,구로구,심하지 않은 장애,남자,7219
202401,서울특별시,구로구,심하지 않은 장애,여자,5133
202401,서울특별시,금천구,심한 장애,남자,2492
202401,서울특별시,금천구,심한 장애,여자,1608
202401,서울특별시,금천구,심하지 않은 장애,남자,4582
202401,서울특별시,금천구,심하지 않은 장애,여자,3118
202401,서울특별시,영등포구,심한 장애,남자,3055
202401,서울특별시,영등포구,심한 장애,여자,1814
202401,서울특별시,영등포구,심하지 않은 장애,남자,5648
202401,서울특별시,영등포구,심하지 않은 장애,여자,4123
202401,서울특별시,동작구,심한 장애,남자,3003
202401,서울특별시,동작구,심한 장애,여자,2067
202401,서울특별시,동작구,심하지 않은 장애,남자,5106
202401,서울특별시,동작구,심하지 않은 장애,여자,3944
202401,서울특별시,관악구,심한 장애,남자,4236
202401,서울특별시,관악구,심한 장애,여자,2800
202401,서울특별시,관악구,심하지 않은 장애,남자,7420
202401,서울특별시,관악구,심하지 않은 장애,여자,5463
202401,서울특별시,서초구,심한 장애,남자,2380
202401,서울특별시,서초구,심한 장애,여자,1583
202401,서울특별시,서초구,심하지 않은 장애,남자,3560
202401,서울특별시,서초구,심하지 않은 장애,여자,2593
202401,서울특별시,강남구,심한 장애,남자,4005
202401,서울특별시,강남구,심한 장애,여자,2708
202401,서울특별시,강남구,심하지 않은 장애,남자,4974
202401,서울특별시,강남구,심하지 않은 장애,여자,3721
202401,서울특별시,송파구,심한 장애,남자,4754
202401,서울특별시,송파구,심한 장애,여자,2887
202401,서울특별시,송파구,심하지 않은 장애,남자,7250
202401,서울특별시,송파구,심하지 않은 장애,여자,5407
202401,서울특별시,강동구,심한 장애,남자,4426
202401,서울특별시,강동구,심한 장애,여자,2605
202401,서울특별시,강동구,심하지 않은 장애,남자,6736
202401,서울특별시,강동구,심하지 않은 장애,여자,4810
202401,부산광역시,중구,심한 장애,남자,534
202401,부산광역시,중구,심한 장애,여자,326
202401,부산광역시,중구,심하지 않은 장애,남자,916
202401,부산광역시,중구,심하지 않은 장애,여자,732
202401,부산광역시,서구,심한 장애,남자,1479
202401,부산광역시,서구,심한 장애,여자,977
202401,부산광역시,서구,심하지 않은 장애,남자,2359
202401,부산광역시,서구,심하지 않은 장애,여자,1781
202401,부산광역시,동구,심한 장애,남자,1313
202401,부산광역시,동구,심한 장애,여자,791
202401,부산광역시,동구,심하지 않은 장애,남자,2125
202401,부산광역시,동구,심하지 않은 장애,여자,1814
202401,부산광역시,영도구,심한 장애,남자,1986
202401,부산광역시,영도구,심한 장애,여자,1431
202401,부산광역시,영도구,심하지 않은 장애,남자,2905
202401,부산광역시,영도구,심하지 않은 장애,여자,2338
202401,부산광역시,부산진구,심한 장애,남자,4102
202401,부산광역시,부산진구,심한 장애,여자,2568
202401,부산광역시,부산진구,심하지 않은 장애,남자,6878
202401,부산광역시,부산진구,심하지 않은 장애,여자,5111
202401,부산광역시,동래구,심한 장애,남자,2692
202401,부산광역시,동래구,심한 장애,여자,1691
202401,부산광역시,동래구,심하지 않은 장애,남자,4289
202401,부산광역시,동래구,심하지 않은 장애,여자,3135
202401,부산광역시,남구,심한 장애,남자,2870
202401,부산광역시,남구,심한 장애,여자,1872
202401,부산광역시,남구,심하지 않은 장애,남자,4693
202401,부산광역시,남구,심하지 않은 장애,여자,3273
202401,부산광역시,북구,심한 장애,남자,3884
202401,부산광역시,북구,심한 장애,여자,2459
202401,부산광역시,북구,심하지 않은 장애,남자,5705
202401,부산광역시,북구,심하지 않은 장애,여자,4017
202401,부산광역시,해운대구,심한 장애,남자,3956
202401,부산광역시,해운대구,심한 장애,여자,2650
202401,부산광역시,해운대구,심하지 않은 장애,남자,6115
202401,부산광역시,해운대구,심하지 않은 장애,여자,4654
202401,부산광역시,사하구,심한 장애,남자,4067
202401,부산광역시,사하구,심한 장애,여자,2819
202401,부산광역시,사하구,심하지 않은 장애,남자,6527
202401,부산광역시,사하구,심하지 않은 장애,여자,4535
202401,부산광역시,금정구,심한 장애,남자,2581
202401,부산광역시,금정구,심한 장애,여자,1697
202401,부산광역시,금정구,심하지 않은 장애,남자,4101
202401,부산광역시,금정구,심하지 않은 장애,여자,3023
202401,부산광역시,강서구,심한 장애,남자,1189
202401,부산광역시,강서구,심한 장애,여자,716
202401,부산광역시,강서구,심하지 않은 장애,남자,2036
202401,부산광역시,강서구,심하지 않은 장애,여자,1270
202401,부산광역시,연제구,심한 장애,남자,2125
202401,부산광역시,연제구,심한 장애,여자,1430
202401,부산광역시,연제구,심하지 않은 장애,남자,3624
202401,부산광역시,연제구,심하지 않은 장애,여자,2741
202401,부산광역시,수영구,심한 장애,남자,1799
202401,부산광역시,수영구,심한 장애,여자,1306
202401,부산광역시,수영구,심하지 않은 장애,남자,2827
202401,부산광역시,수영구,심하지 않은 장애,여자,2255
202401,부산광역시,사상구,심한 장애,남자,3166
202401,부산광역시,사상구,심한 장애,여자,2020
202401,부산광역시,사상구,심하지 않은 장애,남자,4901
202401,부산광역시,사상구,심하지 않은 장애,여자,3179
202401,부산광역시,기장군,심한 장애,남자,2057
202401,부산광역시,기장군,심한 장애,여자,1319
202401,부산광역시,기장군,심하지 않은 장애,남자,3017
202401,부산광역시,기장군,심하지 않은 장애,여자,2237
202401,대구광역시,중구,심한 장애,남자,832
202401,대구광역시,중구,심한 장애,여자,610
202401,대구광역시,중구,심하지 않은 장애,남자,1531
202401,대구광역시,중구,심하지 않은 장애,여자,1231
202401,대구광역시,동구,심한 장애,남자,4507
202401,대구광역시,동구,심한 장애,여자,2878
202401,대구광역시,동구,심하지 않은 장애,남자,7402
202401,대구광역시,동구,심하지 않은 장애,여자,5876
202401,대구광역시,서구,심한 장애,남자,2377
202401,대구광역시,서구,심한 장애,여자,1614
202401,대구광역시,서구,심하지 않은 장애,남자,4485
202401,대구광역시,서구,심하지 않은 장애,여자,3456
