통계연월,통계시도명,통계시군구명,장애정도,성별,등록장애인수
202206,서울특별시,종로구,심한 장애,남자,1289
202206,서울특별시,종로구,심한 장애,여자,875
202206,서울특별시,종로구,심하지 않은 장애,남자,2091
202206,서울특별시,종로구,심하지 않은 장애,여자,1593
202206,서울특별시,중구,심한 장애,남자,1161
202206,서울특별시,중구,심한 장애,여자,757
202206,서울특별시,중구,심하지 않은 장애,남자,2033
202206,서울특별시,중구,심하지 않은 장애,여자,1579
202206,서울특별시,용산구,심한 장애,남자,1604
202206,서울특별시,용산구,심한 장애,여자,1094
202206,서울특별시,용산구,심하지 않은 장애,남자,2763
202206,서울특별시,용산구,심하지 않은 장애,여자,2116
202206,서울특별시,성동구,심한 장애,남자,2290
202206,서울특별시,성동구,심한 장애,여자,1489
202206,서울특별시,성동구,심하지 않은 장애,남자,4119
202206,서울특별시,성동구,심하지 않은 장애,여자,3217
202206,서울특별시,광진구,심한 장애,남자,2525
202206,서울특별시,광진구,심한 장애,여자,1741
202206,서울특별시,광진구,심하지 않은 장애,남자,4469
202206,서울특별시,광진구,심하지 않은 장애,여자,3393
202206,서울특별시,동대문구,심한 장애,남자,3202
202206,서울특별시,동대문구,심한 장애,여자,2029
202206,서울특별시,동대문구,심하지 않은 장애,남자,5708
202206,서울특별시,동대문구,심하지 않은 장애,여자,4415
202206,서울특별시,중랑구,심한 장애,남자,4473
202206,서울특별시,중랑구,심한 장애,여자,2982
202206,서울특별시,중랑구,심하지 않은 장애,남자,7247
202206,서울특별시,중랑구,심하지 않은 장애,여자,5486
202206,서울특별시,성북구,심한 장애,남자,3598
202206,서울특별시,성북구,심한 장애,여자,2471
202206,서울특별시,성북구,심하지 않은 장애,남자,6334
202206,서울특별시,성북구,심하지 않은 장애,여자,4957
202206,서울특별시,강북구,심한 장애,남자,3730
202206,서울특별시,강북구,심한 장애,여자,2636
202206,서울특별시,강북구,심하지 않은 장애,남자,6019
202206,서울특별시,강북구,심하지 않은 장애,여자,4768
202206,서울특별시,도봉구,심한 장애,남자,3247
202206,서울특별시,도봉구,심한 장애,여자,2191
202206,서울특별시,도봉구,심하지 않은 장애,남자,5519
