통계연월,통계시도명,통계시군구명,장애정도,성별,등록장애인수
202309,서울특별시,종로구,심한 장애,남자,1251
202309,서울특별시,종로구,심한 장애,여자,840
202309,서울특별시,종로구,심하지 않은 장애,남자,2032
202309,서울특별시,종로구,심하지 않은 장애,여자,1560
202309,서울특별시,중구,심한 장애,남자,1132
202309,서울특별시,중구,심한 장애,여자,759
202309,서울특별시,중구,심하지 않은 장애,남자,1985
202309,서울특별시,중구,심하지 않은 장애,여자,1547
202309,서울특별시,용산구,심한 장애,남자,1596
202309,서울특별시,용산구,심한 장애,여자,1049
202309,서울특별시,용산구,심하지 않은 장애,남자,2716
202309,서울특별시,용산구,심하지 않은 장애,여자,2067
202309,서울특별시,성동구,심한 장애,남자,2249
202309,서울특별시,성동구,심한 장애,여자,1466
202309,서울특별시,성동구,심하지 않은 장애,남자,4061
202309,서울특별시,성동구,심하지 않은 장애,여자,3141
202309,서울특별시,광진구,심한 장애,남자,2513
202309,서울특별시,광진구,심한 장애,여자,1741
202309,서울특별시,광진구,심하지 않은 장애,남자,4453
202309,서울특별시,광진구,심하지 않은 장애,여자,3393
202309,서울특별시,동대문구,심한 장애,남자,3191
202309,서울특별시,동대문구,심한 장애,여자,1998
202309,서울특별시,동대문구,심하지 않은 장애,남자,5699
202309,서울특별시,동대문구,심하지 않은 장애,여자,4469
202309,서울특별시,중랑구,심한 장애,남자,4470
202309,서울특별시,중랑구,심한 장애,여자,2996
202309,서울특별시,중랑구,심하지 않은 장애,남자,7210
202309,서울특별시,중랑구,심하지 않은 장애,여자,5482
202309,서울특별시,성북구,심한 장애,남자,3526
202309,서울특별시,성북구,심한 장애,여자,2426
202309,서울특별시,성북구,심하지 않은 장애,남자,6186
202309,서울특별시,성북구,심하지 않은 장애,여자,4929
202309,서울특별시,강북구,심한 장애,남자,3670
202309,서울특별시,강북구,심한 장애,여자,2620
202309,서울특별시,강북구,심하지 않은 장애,남자,5962
202309,서울특별시,강북구,심하지 않은 장애,여자,4719
202309,서울특별시,도봉구,심한 장애,남자,3234
202309,서울특별시,도봉구,심한 장애,여자,2156
202309,서울특별시,도봉구,심하지 않은 장애,남자,5481
202309,서울특별시,도봉구,심하지 않은 장애,여자,4201
202309,서울특별시,노원구,심한 장애,남자,6543
202309,서울특별시,노원구,심한 장애,여자,4749
202309,서울특별시,노원구,심하지 않은 장애,남자,7869
202309,서울특별시,노원구,심하지 않은 장애,여자,6950
202309,서울특별시,은평구,심한 장애,남자,5088
202309,서울특별시,은평구,심한 장애,여자,3060
202309,서울특별시,은평구,심하지 않은 장애,남자,7420
202309,서울특별시,은평구,심하지 않은 장애,여자,5869
202309,서울특별시,서대문구,심한 장애,남자,2523
202309,서울특별시,서대문구,심한 장애,여자,1789
202309,서울특별시,서대문구,심하지 않은 장애,남자,4211
202309,서울특별시,서대문구,심하지 않은 장애,여자,3526
202309,서울특별시,마포구,심한 장애,남자,2789
202309,서울특별시,마포구,심한 장애,여자,1997
202309,서울특별시,마포구,심하지 않은 장애,남자,4317
202309,서울특별시,마포구,심하지 않은 장애,여자,3542
202309,서울특별시,양천구,심한 장애,남자,3704
202309,서울특별시,양천구,심한 장애,여자,2442
202309,서울특별시,양천구,심하지 않은 장애,남자,6514
202309,서울특별시,양천구,심하지 않은 장애,여자,4875
202309,서울특별시,강서구,심한 장애,남자,6945
202309,서울특별시,강서구,심한 장애,여자,4720
202309,서울특별시,강서구,심하지 않은 장애,남자,9409
202309,서울특별시,강서구,심하지 않은 장애,여자,7119
202309,서울특별시,구로구,심한 장애,남자,3929
202309,서울특별시,구로구,심한 장애,여자,2623
202309,서울특별시,구로구,심하지 않은 장애,남자,7136
202309,서울특별시,구로구,심하지 않은 장애,여자,5038
202309,서울특별시,금천구,심한 장애,남자,2526
202309,서울특별시,금천구,심한 장애,여자,1611
202309,서울특별시,금천구,심하지 않은 장애,남자,4554
202309,서울특별시,금천구,심하지 않은 장애,여자,3066
202309,서울특별시,영등포구,심한 장애,남자,3038
202309,서울특별시,영등포구,심한 장애,여자,1813
202309,서울특별시,영등포구,심하지 않은 장애,남자,5648
202309,서울특별시,영등포구,심하지 않은 장애,여자,4087
202309,서울특별시,동작구,심한 장애,남자,3046
202309,서울특별시,동작구,심한 장애,여자,2081
202309,서울특별시,동작구,심하지 않은 장애,남자,5103
202309,서울특별시,동작구,심하지 않은 장애,여자,3924
202309,서울특별시,관악구,심한 장애,남자,4265
202309,서울특별시,관악구,심한 장애,여자,2835
202309,서울특별시,관악구,심하지 않은 장애,남자,7432
202309,서울특별시,관악구,심하지 않은 장애,여자,5433
202309,서울특별시,서초구,심한 장애,남자,2367
202309,서울특별시,서초구,심한 장애,여자,1563
202309,서울특별시,서초구,심하지 않은 장애,남자,3559
202309,서울특별시,서초구,심하지 않은 장애,여자,2604
202309,서울특별시,강남구,심한 장애,남자,3995
202309,서울특별시,강남구,심한 장애,여자,2723
202309,서울특별시,강남구,심하지 않은 장애,남자,4878
202309,서울특별시,강남구,심하지 않은 장애,여자,3682
202309,서울특별시,송파구,심한 장애,남자,4742
202309,서울특별시,송파구,심한 장애,여자,2895
202309,서울특별시,송파구,심하지 않은 장애,남자,7257
202309,서울특별시,송파구,심하지 않은 장애,여자,5387
202309,서울특별시,강동구,심한 장애,남자,4393
202309,서울특별시,강동구,심한 장애,여자,2623
202309,서울특별시,강동구,심하지 않은 장애,남자,6708
202309,서울특별시,강동구,심하지 않은 장애,여자,4811
202309,부산광역시,중구,심한 장애,남자,522
202309,부산광역시,중구,심한 장애,여자,327
202309,부산광역시,중구,심하지 않은 장애,남자,929
202309,부산광역시,중구,심하지 않은 장애,여자,732
202309,부산광역시,서구,심한 장애,남자,1494
202309,부산광역시,서구,심한 장애,여자,980
202309,부산광역시,서구,심하지 않은 장애,남자,2361
202309,부산광역시,서구,심하지 않은 장애,여자,1764
202309,부산광역시,동구,심한 장애,남자,1314
202309,부산광역시,동구,심한 장애,여자,795
202309,부산광역시,동구,심하지 않은 장애,남자,2146
202309,부산광역시,동구,심하지 않은 장애,여자,1828
202309,부산광역시,영도구,심한 장애,남자,2010
202309,부산광역시,영도구,심한 장애,여자,1424
202309,부산광역시,영도구,심하지 않은 장애,남자,2900
202309,부산광역시,영도구,심하지 않은 장애,여자,2350
202309,부산광역시,부산진구,심한 장애,남자,4123
202309,부산광역시,부산진구,심한 장애,여자,2556
202309,부산광역시,부산진구,심하지 않은 장애,남자,6874
202309,부산광역시,부산진구,심하지 않은 장애,여자,5101
202309,부산광역시,동래구,심한 장애,남자,2688
202309,부산광역시,동래구,심한 장애,여자,1692
202309,부산광역시,동래구,심하지 않은 장애,남자,4288
202309,부산광역시,동래구,심하지 않은 장애,여자,3145
202309,부산광역시,남구,심한 장애,남자,2882
202309,부산광역시,남구,심한 장애,여자,1854
202309,부산광역시,남구,심하지 않은 장애,남자,4685
202309,부산광역시,남구,심하지 않은 장애,여자,3250
202309,부산광역시,북구,심한 장애,남자,3910
202309,부산광역시,북구,심한 장애,여자,2458
202309,부산광역시,북구,심하지 않은 장애,남자,5710
202309,부산광역시,북구,심하지 않은 장애,여자,4013
202309,부산광역시,해운대구,심한 장애,남자,3980
202309,부산광역시,해운대구,심한 장애,여자,2687
202309,부산광역시,해운대구,심하지 않은 장애,남자,6112
202309,부산광역시,해운대구,심하지 않은 장애,여자,4690
202309,부산광역시,사하구,심한 장애,남자,4065
202309,부산광역시,사하구,심한 장애,여자,2820
202309,부산광역시,사하구,심하지 않은 장애,남자,6517
202309,부산광역시,사하구,심하지 않은 장애,여자,4519
202309,부산광역시,금정구,심한 장애,남자,2597
202309,부산광역시,금정구,심한 장애,여자,1733
202309,부산광역시,금정구,심하지 않은 장애,남자,4110
202309,부산광역시,금정구,심하지 않은 장애,여자,3022
202309,부산광역시,강서구,심한 장애,남자,1188
202309,부산광역시,강서구,심한 장애,여자,720
202309,부산광역시,강서구,심하지 않은 장애,남자,2019
202309,부산광역시,강서구,심하지 않은 장애,여자,1268
202309,부산광역시,연제구,심한 장애,남자,2092
202309,부산광역시,연제구,심한 장애,여자,1407
202309,부산광역시,연제구,심하지 않은 장애,남자,3603
202309,부산광역시,연제구,심하지 않은 장애,여자,2700
202309,부산광역시,수영구,심한 장애,남자,1813
202309,부산광역시,수영구,심한 장애,여자,1302
202309,부산광역시,수영구,심하지 않은 장애,남자,2846
202309,부산광역시,수영구,심하지 않은 장애,여자,2258
202309,부산광역시,사상구,심한 장애,남자,3163
202309,부산광역시,사상구,심한 장애,여자,2029
202309,부산광역시,사상구,심하지 않은 장애,남자,4912
202309,부산광역시,사상구,심하지 않은 장애,여자,3170
202309,부산광역시,기장군,심한 장애,남자,2070
202309,부산광역시,기장군,심한 장애,여자,1318
202309,부산광역시,기장군,심하지 않은 장애,남자,3031
202309,부산광역시,기장군,심하지 않은 장애,여자,2251
202309,대구광역시,중구,심한 장애,남자,831
202309,대구광역시,중구,심한 장애,여자,613
202309,대구광역시,중구,심하지 않은 장애,남자,1499
202309,대구광역시,중구,심하지 않은 장애,여자,1228
202309,대구광역시,동구,심한 장애,남자,4513
202309,대구광역시,동구,심한 장애,여자,2892
202309,대구광역시,동구,심하지 않은 장애,남자,7386
202309,대구광역시,동구,심하지 않은 장애,여자,5868
202309,대구광역시,서구,심한 장애,남자,2363
202309,대구광역시,서구,심한 장애,여자,1576
202309,대구광역시,서구,심하지 않은 장애,남자,4437
202309,대구광역시,서구,심하지 않은 장애,여자,3403
202309,대구광역시,남구,심한 장애,남자,1875
202309,대구광역시,남구,심한 장애,여자,1351
202309,대구광역시,남구,심하지 않은 장애,남자,3499
202309,대구광역시,남구,심하지 않은 장애,여자,2764
202309,대구광역시,북구,심한 장애,남자,4742
202309,대구광역시,북구,심한 장애,여자,3199
202309,대구광역시,북구,심하지 않은 장애,남자,8412
202309,대구광역시,북구,심하지 않은 장애,여자,5936
