통계연월,통계시도명,통계시군구명,장애정도,성별,등록장애인수
202301,서울특별시,종로구,심한 장애,남자,1265
202301,서울특별시,종로구,심한 장애,여자,868
202301,서울특별시,종로구,심하지 않은 장애,남자,2081
202301,서울특별시,종로구,심하지 않은 장애,여자,1583
202301,서울특별시,중구,심한 장애,남자,1141
202301,서울특별시,중구,심한 장애,여자,761
202301,서울특별시,중구,심하지 않은 장애,남자,2004
202301,서울특별시,중구,심하지 않은 장애,여자,1578
202301,서울특별시,용산구,심한 장애,남자,1603
202301,서울특별시,용산구,심한 장애,여자,1099
202301,서울특별시,용산구,심하지 않은 장애,남자,2754
202301,서울특별시,용산구,심하지 않은 장애,여자,2114
202301,서울특별시,성동구,심한 장애,남자,2282
202301,서울특별시,성동구,심한 장애,여자,1495
202301,서울특별시,성동구,심하지 않은 장애,남자,4096
202301,서울특별시,성동구,심하지 않은 장애,여자,3172
202301,서울특별시,광진구,심한 장애,남자,2514
202301,서울특별시,광진구,심한 장애,여자,1742
202301,서울특별시,광진구,심하지 않은 장애,남자,4471
202301,서울특별시,광진구,심하지 않은 장애,여자,3392
202301,서울특별시,동대문구,심한 장애,남자,3218
202301,서울특별시,동대문구,심한 장애,여자,2026
202301,서울특별시,동대문구,심하지 않은 장애,남자,5737
202301,서울특별시,동대문구,심하지 않은 장애,여자,4441
202301,서울특별시,중랑구,심한 장애,남자,4457
202301,서울특별시,중랑구,심한 장애,여자,2981
202301,서울특별시,중랑구,심하지 않은 장애,남자,7254
202301,서울특별시,중랑구,심하지 않은 장애,여자,5463
202301,서울특별시,성북구,심한 장애,남자,3632
202301,서울특별시,성북구,심한 장애,여자,2499
202301,서울특별시,성북구,심하지 않은 장애,남자,6302
202301,서울특별시,성북구,심하지 않은 장애,여자,4992
202301,서울특별시,강북구,심한 장애,남자,3719
202301,서울특별시,강북구,심한 장애,여자,2632
202301,서울특별시,강북구,심하지 않은 장애,남자,6002
202301,서울특별시,강북구,심하지 않은 장애,여자,4758
202301,서울특별시,도봉구,심한 장애,남자,3254
202301,서울특별시,도봉구,심한 장애,여자,2195
202301,서울특별시,도봉구,심하지 않은 장애,남자,5510
202301,서울특별시,도봉구,심하지 않은 장애,여자,4235
202301,서울특별시,노원구,심한 장애,남자,6683
202301,서울특별시,노원구,심한 장애,여자,4819
202301,서울특별시,노원구,심하지 않은 장애,남자,7915
202301,서울특별시,노원구,심하지 않은 장애,여자,7017
202301,서울특별시,은평구,심한 장애,남자,5099
202301,서울특별시,은평구,심한 장애,여자,3109
202301,서울특별시,은평구,심하지 않은 장애,남자,7479
202301,서울특별시,은평구,심하지 않은 장애,여자,5916
202301,서울특별시,서대문구,심한 장애,남자,2541
202301,서울특별시,서대문구,심한 장애,여자,1804
202301,서울특별시,서대문구,심하지 않은 장애,남자,4221
202301,서울특별시,서대문구,심하지 않은 장애,여자,3611
202301,서울특별시,마포구,심한 장애,남자,2821
202301,서울특별시,마포구,심한 장애,여자,2035
202301,서울특별시,마포구,심하지 않은 장애,남자,4362
202301,서울특별시,마포구,심하지 않은 장애,여자,3540
202301,서울특별시,양천구,심한 장애,남자,3739
202301,서울특별시,양천구,심한 장애,여자,2510
202301,서울특별시,양천구,심하지 않은 장애,남자,6439
202301,서울특별시,양천구,심하지 않은 장애,여자,4851
202301,서울특별시,강서구,심한 장애,남자,6992
202301,서울특별시,강서구,심한 장애,여자,4775
202301,서울특별시,강서구,심하지 않은 장애,남자,9407
202301,서울특별시,강서구,심하지 않은 장애,여자,7087
202301,서울특별시,구로구,심한 장애,남자,3939
202301,서울특별시,구로구,심한 장애,여자,2603
202301,서울특별시,구로구,심하지 않은 장애,남자,7023
202301,서울특별시,구로구,심하지 않은 장애,여자,4917
202301,서울특별시,금천구,심한 장애,남자,2504
202301,서울특별시,금천구,심한 장애,여자,1609
202301,서울특별시,금천구,심하지 않은 장애,남자,4457
202301,서울특별시,금천구,심하지 않은 장애,여자,2957
202301,서울특별시,영등포구,심한 장애,남자,3030
202301,서울특별시,영등포구,심한 장애,여자,1842
202301,서울특별시,영등포구,심하지 않은 장애,남자,5653
202301,서울특별시,영등포구,심하지 않은 장애,여자,4064
202301,서울특별시,동작구,심한 장애,남자,3033
202301,서울특별시,동작구,심한 장애,여자,2075
202301,서울특별시,동작구,심하지 않은 장애,남자,5123
202301,서울특별시,동작구,심하지 않은 장애,여자,3958
202301,서울특별시,관악구,심한 장애,남자,4352
202301,서울특별시,관악구,심한 장애,여자,2874
202301,서울특별시,관악구,심하지 않은 장애,남자,7483
202301,서울특별시,관악구,심하지 않은 장애,여자,5466
202301,서울특별시,서초구,심한 장애,남자,2397
202301,서울특별시,서초구,심한 장애,여자,1564
202301,서울특별시,서초구,심하지 않은 장애,남자,3594
202301,서울특별시,서초구,심하지 않은 장애,여자,2576
202301,서울특별시,강남구,심한 장애,남자,3938
202301,서울특별시,강남구,심한 장애,여자,2719
202301,서울특별시,강남구,심하지 않은 장애,남자,4808
202301,서울특별시,강남구,심하지 않은 장애,여자,3616
202301,서울특별시,송파구,심한 장애,남자,4794
202301,서울특별시,송파구,심한 장애,여자,2945
202301,서울특별시,송파구,심하지 않은 장애,남자,7277
202301,서울특별시,송파구,심하지 않은 장애,여자,5435
202301,서울특별시,강동구,심한 장애,남자,4408
202301,서울특별시,강동구,심한 장애,여자,2647
202301,서울특별시,강동구,심하지 않은 장애,남자,6704
202301,서울특별시,강동구,심하지 않은 장애,여자,4791
202301,부산광역시,중구,심한 장애,남자,540
202301,부산광역시,중구,심한 장애,여자,332
202301,부산광역시,중구,심하지 않은 장애,남자,928
202301,부산광역시,중구,심하지 않은 장애,여자,752
202301,부산광역시,서구,심한 장애,남자,1513
202301,부산광역시,서구,심한 장애,여자,989
202301,부산광역시,서구,심하지 않은 장애,남자,2366
202301,부산광역시,서구,심하지 않은 장애,여자,1768
202301,부산광역시,동구,심한 장애,남자,1362
202301,부산광역시,동구,심한 장애,여자,807
202301,부산광역시,동구,심하지 않은 장애,남자,2137
202301,부산광역시,동구,심하지 않은 장애,여자,1843
202301,부산광역시,영도구,심한 장애,남자,2085
202301,부산광역시,영도구,심한 장애,여자,1457
202301,부산광역시,영도구,심하지 않은 장애,남자,2962
202301,부산광역시,영도구,심하지 않은 장애,여자,2380
202301,부산광역시,부산진구,심한 장애,남자,4117
202301,부산광역시,부산진구,심한 장애,여자,2560
202301,부산광역시,부산진구,심하지 않은 장애,남자,6864
202301,부산광역시,부산진구,심하지 않은 장애,여자,5081
202301,부산광역시,동래구,심한 장애,남자,2737
202301,부산광역시,동래구,심한 장애,여자,1722
202301,부산광역시,동래구,심하지 않은 장애,남자,4307
202301,부산광역시,동래구,심하지 않은 장애,여자,3167
