통계연월,통계시도명,통계시군구명,장애유형,성별,등록장애인수
202306,서울특별시,종로구,지체,남자,1311
202306,서울특별시,종로구,지체,여자,1083
202306,서울특별시,종로구,시각,남자,428
202306,서울특별시,종로구,시각,여자,242
202306,서울특별시,종로구,청각,남자,545
202306,서울특별시,종로구,청각,여자,419
202306,서울특별시,종로구,언어,남자,29
202306,서울특별시,종로구,언어,여자,16
202306,서울특별시,종로구,지적,남자,231
202306,서울특별시,종로구,지적,여자,159
202306,서울특별시,종로구,뇌병변,남자,318
202306,서울특별시,종로구,뇌병변,여자,216
202306,서울특별시,종로구,자폐성,남자,94
202306,서울특별시,종로구,자폐성,여자,18
202306,서울특별시,종로구,정신,남자,122
202306,서울특별시,종로구,정신,여자,123
202306,서울특별시,종로구,신장,남자,155
202306,서울특별시,종로구,신장,여자,104
202306,서울특별시,종로구,심장,남자,6
202306,서울특별시,종로구,심장,여자,7
202306,서울특별시,종로구,호흡기,남자,17
202306,서울특별시,종로구,호흡기,여자,8
202306,서울특별시,종로구,간,남자,30
202306,서울특별시,종로구,간,여자,14
202306,서울특별시,종로구,안면,남자,2
202306,서울특별시,종로구,안면,여자,3
202306,서울특별시,종로구,장루.요루,남자,25
202306,서울특별시,종로구,장루.요루,여자,10
202306,서울특별시,종로구,뇌전증,남자,6
202306,서울특별시,종로구,뇌전증,여자,6
202306,서울특별시,중구,지체,남자,1280
202306,서울특별시,중구,지체,여자,1062
202306,서울특별시,중구,시각,남자,416
202306,서울특별시,중구,시각,여자,265
202306,서울특별시,중구,청각,남자,485
202306,서울특별시,중구,청각,여자,421
202306,서울특별시,중구,언어,남자,19
202306,서울특별시,중구,언어,여자,9
202306,서울특별시,중구,지적,남자,186
202306,서울특별시,중구,지적,여자,117
202306,서울특별시,중구,뇌병변,남자,326
202306,서울특별시,중구,뇌병변,여자,196
202306,서울특별시,중구,자폐성,남자,62
202306,서울특별시,중구,자폐성,여자,19
202306,서울특별시,중구,정신,남자,123
202306,서울특별시,중구,정신,여자,86
202306,서울특별시,중구,신장,남자,128
202306,서울특별시,중구,신장,여자,98
202306,서울특별시,중구,심장,남자,9
202306,서울특별시,중구,심장,여자,4
202306,서울특별시,중구,호흡기,남자,30
202306,서울특별시,중구,호흡기,여자,3
202306,서울특별시,중구,간,남자,29
202306,서울특별시,중구,간,여자,10
202306,서울특별시,중구,안면,남자,3
202306,서울특별시,중구,안면,여자,6
202306,서울특별시,중구,장루.요루,남자,28
202306,서울특별시,중구,장루.요루,여자,15
202306,서울특별시,중구,뇌전증,남자,12
202306,서울특별시,중구,뇌전증,여자,9
202306,서울특별시,용산구,지체,남자,1677
202306,서울특별시,용산구,지체,여자,1394
202306,서울특별시,용산구,시각,남자,554
202306,서울특별시,용산구,시각,여자,351
202306,서울특별시,용산구,청각,남자,661
202306,서울특별시,용산구,청각,여자,533
202306,서울특별시,용산구,언어,남자,44
202306,서울특별시,용산구,언어,여자,16
202306,서울특별시,용산구,지적,남자,328
202306,서울특별시,용산구,지적,여자,206
202306,서울특별시,용산구,뇌병변,남자,419
202306,서울특별시,용산구,뇌병변,여자,296
202306,서울특별시,용산구,자폐성,남자,116
202306,서울특별시,용산구,자폐성,여자,27
202306,서울특별시,용산구,정신,남자,143
202306,서울특별시,용산구,정신,여자,126
202306,서울특별시,용산구,신장,남자,223
202306,서울특별시,용산구,신장,여자,141
202306,서울특별시,용산구,심장,남자,10
202306,서울특별시,용산구,심장,여자,5
202306,서울특별시,용산구,호흡기,남자,35
202306,서울특별시,용산구,호흡기,여자,14
202306,서울특별시,용산구,간,남자,54
202306,서울특별시,용산구,간,여자,15
202306,서울특별시,용산구,안면,남자,3
202306,서울특별시,용산구,안면,여자,1
202306,서울특별시,용산구,장루.요루,남자,39
202306,서울특별시,용산구,장루.요루,여자,28
202306,서울특별시,용산구,뇌전증,남자,10
202306,서울특별시,용산구,뇌전증,여자,8
202306,서울특별시,성동구,지체,남자,2669
202306,서울특별시,성동구,지체,여자,2101
202306,서울특별시,성동구,시각,남자,637
202306,서울특별시,성동구,시각,여자,458
202306,서울특별시,성동구,청각,남자,940
202306,서울특별시,성동구,청각,여자,780
202306,서울특별시,성동구,언어,남자,76
202306,서울특별시,성동구,언어,여자,20
202306,서울특별시,성동구,지적,남자,432
202306,서울특별시,성동구,지적,여자,277
202306,서울특별시,성동구,뇌병변,남자,653
202306,서울특별시,성동구,뇌병변,여자,441
202306,서울특별시,성동구,자폐성,남자,191
202306,서울특별시,성동구,자폐성,여자,31
202306,서울특별시,성동구,정신,남자,211
202306,서울특별시,성동구,정신,여자,193
202306,서울특별시,성동구,신장,남자,296
202306,서울특별시,성동구,신장,여자,200
202306,서울특별시,성동구,심장,남자,19
202306,서울특별시,성동구,심장,여자,12
202306,서울특별시,성동구,호흡기,남자,61
202306,서울특별시,성동구,호흡기,여자,20
202306,서울특별시,성동구,간,남자,60
202306,서울특별시,성동구,간,여자,30
202306,서울특별시,성동구,안면,남자,8
202306,서울특별시,성동구,안면,여자,4
202306,서울특별시,성동구,장루.요루,남자,64
202306,서울특별시,성동구,장루.요루,여자,38
202306,서울특별시,성동구,뇌전증,남자,21
202306,서울특별시,성동구,뇌전증,여자,17
202306,서울특별시,광진구,지체,남자,2886
202306,서울특별시,광진구,지체,여자,2332
202306,서울특별시,광진구,시각,남자,794
202306,서울특별시,광진구,시각,여자,507
202306,서울특별시,광진구,청각,남자,1050
202306,서울특별시,광진구,청각,여자,803
202306,서울특별시,광진구,언어,남자,62
202306,서울특별시,광진구,언어,여자,29
202306,서울특별시,광진구,지적,남자,478
202306,서울특별시,광진구,지적,여자,344
202306,서울특별시,광진구,뇌병변,남자,670
202306,서울특별시,광진구,뇌병변,여자,484
202306,서울특별시,광진구,자폐성,남자,190
202306,서울특별시,광진구,자폐성,여자,33
202306,서울특별시,광진구,정신,남자,259
202306,서울특별시,광진구,정신,여자,264
202306,서울특별시,광진구,신장,남자,352
202306,서울특별시,광진구,신장,여자,261
202306,서울특별시,광진구,심장,남자,20
202306,서울특별시,광진구,심장,여자,9
202306,서울특별시,광진구,호흡기,남자,52
202306,서울특별시,광진구,호흡기,여자,10
202306,서울특별시,광진구,간,남자,47
202306,서울특별시,광진구,간,여자,22
202306,서울특별시,광진구,안면,남자,6
202306,서울특별시,광진구,안면,여자,4
202306,서울특별시,광진구,장루.요루,남자,87
202306,서울특별시,광진구,장루.요루,여자,32
202306,서울특별시,광진구,뇌전증,남자,29
202306,서울특별시,광진구,뇌전증,여자,20
202306,서울특별시,동대문구,지체,남자,3822
202306,서울특별시,동대문구,지체,여자,3051
202306,서울특별시,동대문구,시각,남자,922
202306,서울특별시,동대문구,시각,여자,555
202306,서울특별시,동대문구,청각,남자,1393
202306,서울특별시,동대문구,청각,여자,1117
202306,서울특별시,동대문구,언어,남자,96
202306,서울특별시,동대문구,언어,여자,35
202306,서울특별시,동대문구,지적,남자,591
202306,서울특별시,동대문구,지적,여자,325
202306,서울특별시,동대문구,뇌병변,남자,874
202306,서울특별시,동대문구,뇌병변,여자,608
202306,서울특별시,동대문구,자폐성,남자,183
202306,서울특별시,동대문구,자폐성,여자,33
202306,서울특별시,동대문구,정신,남자,342
202306,서울특별시,동대문구,정신,여자,298
202306,서울특별시,동대문구,신장,남자,421
202306,서울특별시,동대문구,신장,여자,291
202306,서울특별시,동대문구,심장,남자,23
202306,서울특별시,동대문구,심장,여자,13
202306,서울특별시,동대문구,호흡기,남자,59
202306,서울특별시,동대문구,호흡기,여자,12
202306,서울특별시,동대문구,간,남자,73
202306,서울특별시,동대문구,간,여자,37
202306,서울특별시,동대문구,안면,남자,10
202306,서울특별시,동대문구,안면,여자,8
202306,서울특별시,동대문구,장루.요루,남자,72
202306,서울특별시,동대문구,장루.요루,여자,47
202306,서울특별시,동대문구,뇌전증,남자,22
202306,서울특별시,동대문구,뇌전증,여자,18
202306,서울특별시,중랑구,지체,남자,5135
202306,서울특별시,중랑구,지체,여자,3973
202306,서울특별시,중랑구,시각,남자,1242
202306,서울특별시,중랑구,시각,여자,849
202306,서울특별시,중랑구,청각,남자,1509
202306,서울특별시,중랑구,청각,여자,1144
202306,서울특별시,중랑구,언어,남자,129
202306,서울특별시,중랑구,언어,여자,48
202306,서울특별시,중랑구,지적,남자,848
202306,서울특별시,중랑구,지적,여자,522
202306,서울특별시,중랑구,뇌병변,남자,1230
202306,서울특별시,중랑구,뇌병변,여자,814
202306,서울특별시,중랑구,자폐성,남자,236
202306,서울특별시,중랑구,자폐성,여자,48
202306,서울특별시,중랑구,정신,남자,436
202306,서울특별시,중랑구,정신,여자,442
202306,서울특별시,중랑구,신장,남자,590
202306,서울특별시,중랑구,신장,여자,419
202306,서울특별시,중랑구,심장,남자,30
202306,서울특별시,중랑구,심장,여자,18
202306,서울특별시,중랑구,호흡기,남자,109
202306,서울특별시,중랑구,호흡기,여자,29
202306,서울특별시,중랑구,간,남자,65
202306,서울특별시,중랑구,간,여자,40
202306,서울특별시,중랑구,안면,남자,4
202306,서울특별시,중랑구,안면,여자,9
202306,서울특별시,중랑구,장루.요루,남자,100
202306,서울특별시,중랑구,장루.요루,여자,61
202306,서울특별시,중랑구,뇌전증,남자,33
202306,서울특별시,중랑구,뇌전증,여자,38
202306,서울특별시,성북구,지체,남자,4021
202306,서울특별시,성북구,지체,여자,3320
202306,서울특별시,성북구,시각,남자,1127
202306,서울특별시,성북구,시각,여자,760
202306,서울특별시,성북구,청각,남자,1423
202306,서울특별시,성북구,청각,여자,1168
202306,서울특별시,성북구,언어,남자,122
202306,서울특별시,성북구,언어,여자,49
202306,서울특별시,성북구,지적,남자,722
202306,서울특별시,성북구,지적,여자,448
202306,서울특별시,성북구,뇌병변,남자,954
202306,서울특별시,성북구,뇌병변,여자,719
202306,서울특별시,성북구,자폐성,남자,245
202306,서울특별시,성북구,자폐성,여자,41
202306,서울특별시,성북구,정신,남자,322
202306,서울특별시,성북구,정신,여자,311
202306,서울특별시,성북구,신장,남자,470
202306,서울특별시,성북구,신장,여자,358
202306,서울특별시,성북구,심장,남자,24
202306,서울특별시,성북구,심장,여자,11
202306,서울특별시,성북구,호흡기,남자,63
202306,서울특별시,성북구,호흡기,여자,28
202306,서울특별시,성북구,간,남자,87
202306,서울특별시,성북구,간,여자,42
202306,서울특별시,성북구,안면,남자,10
202306,서울특별시,성북구,안면,여자,10
202306,서울특별시,성북구,장루.요루,남자,92
202306,서울특별시,성북구,장루.요루,여자,58
202306,서울특별시,성북구,뇌전증,남자,26
202306,서울특별시,성북구,뇌전증,여자,21
202306,서울특별시,강북구,지체,남자,3999
202306,서울특별시,강북구,지체,여자,3186
202306,서울특별시,강북구,시각,남자,1075
202306,서울특별시,강북구,시각,여자,838
202306,서울특별시,강북구,청각,남자,1566
202306,서울특별시,강북구,청각,여자,1248
202306,서울특별시,강북구,언어,남자,106
202306,서울특별시,강북구,언어,여자,44
202306,서울특별시,강북구,지적,남자,697
202306,서울특별시,강북구,지적,여자,530
202306,서울특별시,강북구,뇌병변,남자,972
202306,서울특별시,강북구,뇌병변,여자,656
202306,서울특별시,강북구,자폐성,남자,175
202306,서울특별시,강북구,자폐성,여자,31
202306,서울특별시,강북구,정신,남자,373
202306,서울특별시,강북구,정신,여자,368
202306,서울특별시,강북구,신장,남자,471
202306,서울특별시,강북구,신장,여자,315
202306,서울특별시,강북구,심장,남자,18
202306,서울특별시,강북구,심장,여자,15
202306,서울특별시,강북구,호흡기,남자,75
202306,서울특별시,강북구,호흡기,여자,21
202306,서울특별시,강북구,간,남자,54
202306,서울특별시,강북구,간,여자,32
202306,서울특별시,강북구,안면,남자,3
202306,서울특별시,강북구,안면,여자,4
202306,서울특별시,강북구,장루.요루,남자,88
202306,서울특별시,강북구,장루.요루,여자,51
202306,서울특별시,강북구,뇌전증,남자,26
202306,서울특별시,강북구,뇌전증,여자,26
202306,서울특별시,도봉구,지체,남자,3553
202306,서울특별시,도봉구,지체,여자,2775
202306,서울특별시,도봉구,시각,남자,958
202306,서울특별시,도봉구,시각,여자,639
202306,서울특별시,도봉구,청각,남자,1303
202306,서울특별시,도봉구,청각,여자,1073
202306,서울특별시,도봉구,언어,남자,76
202306,서울특별시,도봉구,언어,여자,38
202306,서울특별시,도봉구,지적,남자,695
202306,서울특별시,도봉구,지적,여자,421
202306,서울특별시,도봉구,뇌병변,남자,905
