통계연월,통계시도명,통계시군구명,장애유형,성별,등록장애인수
202311,서울특별시,종로구,지체,남자,1274
202311,서울특별시,종로구,지체,여자,1069
202311,서울특별시,종로구,시각,남자,426
202311,서울특별시,종로구,시각,여자,245
202311,서울특별시,종로구,청각,남자,555
202311,서울특별시,종로구,청각,여자,404
202311,서울특별시,종로구,언어,남자,30
202311,서울특별시,종로구,언어,여자,17
202311,서울특별시,종로구,지적,남자,229
202311,서울특별시,종로구,지적,여자,154
202311,서울특별시,종로구,뇌병변,남자,308
202311,서울특별시,종로구,뇌병변,여자,209
202311,서울특별시,종로구,자폐성,남자,93
202311,서울특별시,종로구,자폐성,여자,23
202311,서울특별시,종로구,정신,남자,119
202311,서울특별시,종로구,정신,여자,123
202311,서울특별시,종로구,신장,남자,162
202311,서울특별시,종로구,신장,여자,105
202311,서울특별시,종로구,심장,남자,6
202311,서울특별시,종로구,심장,여자,8
202311,서울특별시,종로구,호흡기,남자,18
202311,서울특별시,종로구,호흡기,여자,7
202311,서울특별시,종로구,간,남자,30
202311,서울특별시,종로구,간,여자,14
202311,서울특별시,종로구,안면,남자,2
202311,서울특별시,종로구,안면,여자,4
202311,서울특별시,종로구,장루.요루,남자,22
202311,서울특별시,종로구,장루.요루,여자,11
202311,서울특별시,종로구,뇌전증,남자,6
202311,서울특별시,종로구,뇌전증,여자,7
202311,서울특별시,중구,지체,남자,1273
202311,서울특별시,중구,지체,여자,1050
202311,서울특별시,중구,시각,남자,403
202311,서울특별시,중구,시각,여자,256
202311,서울특별시,중구,청각,남자,482
202311,서울특별시,중구,청각,여자,423
202311,서울특별시,중구,언어,남자,19
202311,서울특별시,중구,언어,여자,9
202311,서울특별시,중구,지적,남자,185
202311,서울특별시,중구,지적,여자,118
202311,서울특별시,중구,뇌병변,남자,328
202311,서울특별시,중구,뇌병변,여자,197
202311,서울특별시,중구,자폐성,남자,65
202311,서울특별시,중구,자폐성,여자,21
202311,서울특별시,중구,정신,남자,121
