통계연월,통계시도명,통계시군구명,장애유형,성별,등록장애인수
202304,서울특별시,종로구,지체,남자,1323
202304,서울특별시,종로구,지체,여자,1092
202304,서울특별시,종로구,시각,남자,429
202304,서울특별시,종로구,시각,여자,239
202304,서울특별시,종로구,청각,남자,551
202304,서울특별시,종로구,청각,여자,428
202304,서울특별시,종로구,언어,남자,31
202304,서울특별시,종로구,언어,여자,15
202304,서울특별시,종로구,지적,남자,231
202304,서울특별시,종로구,지적,여자,167
202304,서울특별시,종로구,뇌병변,남자,330
202304,서울특별시,종로구,뇌병변,여자,224
202304,서울특별시,종로구,자폐성,남자,93
202304,서울특별시,종로구,자폐성,여자,18
202304,서울특별시,종로구,정신,남자,131
202304,서울특별시,종로구,정신,여자,124
202304,서울특별시,종로구,신장,남자,154
202304,서울특별시,종로구,신장,여자,102
202304,서울특별시,종로구,심장,남자,6
202304,서울특별시,종로구,심장,여자,7
202304,서울특별시,종로구,호흡기,남자,18
202304,서울특별시,종로구,호흡기,여자,7
202304,서울특별시,종로구,간,남자,30
202304,서울특별시,종로구,간,여자,15
202304,서울특별시,종로구,안면,남자,2
202304,서울특별시,종로구,안면,여자,3
202304,서울특별시,종로구,장루.요루,남자,24
202304,서울특별시,종로구,장루.요루,여자,10
202304,서울특별시,종로구,뇌전증,남자,7
202304,서울특별시,종로구,뇌전증,여자,7
202304,서울특별시,중구,지체,남자,1282
202304,서울특별시,중구,지체,여자,1073
202304,서울특별시,중구,시각,남자,418
202304,서울특별시,중구,시각,여자,266
202304,서울특별시,중구,청각,남자,482
202304,서울특별시,중구,청각,여자,416
202304,서울특별시,중구,언어,남자,18
202304,서울특별시,중구,언어,여자,9
202304,서울특별시,중구,지적,남자,185
202304,서울특별시,중구,지적,여자,117
202304,서울특별시,중구,뇌병변,남자,332
202304,서울특별시,중구,뇌병변,여자,196
202304,서울특별시,중구,자폐성,남자,62
202304,서울특별시,중구,자폐성,여자,17
202304,서울특별시,중구,정신,남자,122
202304,서울특별시,중구,정신,여자,87
202304,서울특별시,중구,신장,남자,130
202304,서울특별시,중구,신장,여자,100
202304,서울특별시,중구,심장,남자,8
202304,서울특별시,중구,심장,여자,4
